k;Avg Maxflow;Aug paths;Time
14;25541;4139;38512.4
14;14794;2303;21044.3
14;8875;1355;12249
14;22374;3679;33700.1
14;34365;5146;47297.9
14;47649;6466;59997.8
14;13232;2168;20195.2
14;11163;1817;16702
14;23141;3596;33570.7
14;21201;3440;31699.9
14;14301;2269;20771.8
14;12780;2089;19738.7
14;13638;2225;20775.9
14;18767;2794;26309
14;14806;2142;19853.4
14;32141;4856;45657.1
14;19641;3109;29009.7
14;15683;2489;22845.6
14;13608;2082;19542.4
14;23618;3667;33458.9
14;11091;1715;15874.4
14;24789;3882;36053.2
14;22296;3302;30842.8
14;27670;4385;41590.2
14;21878;3322;31068.1
14;14506;2359;22156.2
14;23826;3411;32086.4
14;17931;2697;25643.4
14;29434;4306;40279.3
14;5392;827;7827.11
14;8168;1417;13352.7
14;14575;2516;23176.4
14;25010;4049;38045.8
14;24828;3978;36962.5
14;15945;2515;23654.5
14;11820;1839;17253.5
14;11062;1893;17585.4
14;15032;2289;21304.5
14;12635;1981;18476.3
14;28676;4081;38139.6
14;25379;4148;38896.2
14;9076;1377;12937.6
14;31654;4528;42402.7
14;10505;1616;14929.6
14;7320;1308;11873.7
14;27147;4132;38139.7
14;15200;2170;19864
14;3128;598;5362.21
14;33823;5274;49082.5
14;24523;3799;35138.6
14;30273;4381;42430.4
14;32810;5687;52690.3
14;20831;3268;29480.9
14;6728;1073;9586.58
14;18373;2618;23504.4
14;24368;3657;32672.4
14;7927;1283;11378.3
14;16588;2629;23186.6
